completed_on,distance_travelled,end_location_lat,end_location_long,started_on,driver_rating,rider_rating,start_zip_code,end_zip_code,charity_id,requested_car_category,free_credit_used,surge_factor,start_location_long,start_location_lat,color,make,model,year,rating,Date,PRCP,TMAX,TMIN,AWND,GustSpeed2,Fog,HeavyFog,Thunder
6/4/16 4:35,285,30.27,-97.75,6/4/16 4:34,5,5,,,,REGULAR,,0,-97.75,30.27,Black,Cadillac,XTS,2013,5,6/4/16,0.1,86,67,4.9,13,1,0,0
6/4/16 4:51,1029,30.27,-97.74,6/4/16 4:45,5,5,,,,REGULAR,,0,-97.75,30.27,Black,Cadillac,XTS,2013,5,6/4/16,0.1,86,67,4.9,13,1,0,0
6/4/16 5:27,8459,38.68,-121.04,6/4/16 5:18,5,5,,,,REGULAR,,0,-121.07,38.65,Gray,Bentley,Continental GT,2013,5,6/4/16,0.1,86,67,4.9,13,1,0,0
6/4/16 6:51,443,38.68,-121.04,6/4/16 6:50,5,5,,,,REGULAR,,0,-121.04,38.68,Gray,Bentley,Continental GT,2013,5,6/4/16,0.1,86,67,4.9,13,1,0,0
6/4/16 8:17,568,38.68,-121.04,6/4/16 8:16,3,5,,,,REGULAR,,0,-121.04,38.68,Gray,Bentley,Continental GT,2013,5,6/4/16,0.1,86,67,4.9,13,1,0,0
6/4/16 15:13,4051,30.27,-97.74,6/4/16 15:05,5,5,,,,REGULAR,,0,-97.76,30.25,Black,Cadillac,XTS,2013,5,6/4/16,0.1,86,67,4.9,13,1,0,0
6/4/16 15:26,790,30.27,-97.75,6/4/16 15:24,5,5,,,,REGULAR,,0,-97.75,30.27,Black,Cadillac,XTS,2013,5,6/4/16,0.1,86,67,4.9,13,1,0,0
6/5/16 3:50,2171,30.27,-97.75,6/5/16 3:40,0.5,5,,,,REGULAR,,0,-97.75,30.26,Black,Cadillac,XTS,2013,4.909090909,6/5/16,0,88,68,5.8,14.1,0,0,0
6/5/16 4:33,10260,30.27,-97.75,6/5/16 4:17,,5,,,,REGULAR,,0,-97.77,30.2,Black,Infiniti,QX60,2015,5,6/5/16,0,88,68,5.8,14.1,0,0,0
6/5/16 7:12,5294,30.24,-97.78,6/5/16 6:57,3,5,,,,REGULAR,,0,-97.75,30.27,Black,Cadillac,SRX,2012,4.888888889,6/5/16,0,88,68,5.8,14.1,0,0,0
6/5/16 7:36,9768,30.2,-97.77,6/5/16 7:26,4.5,5,,,,REGULAR,,0,-97.74,30.27,Silver,Toyota,Highlander Hybrid,2008,5,6/5/16,0,88,68,5.8,14.1,0,0,0
6/5/16 20:59,12169,30.2,-97.67,6/5/16 20:47,5,5,,,,REGULAR,,0,-97.75,30.24,White,Nissan,Murano,2015,5,6/5/16,0,88,68,5.8,14.1,0,0,0
6/5/16 21:12,9859,30.27,-97.74,6/5/16 20:56,5,5,,,,REGULAR,,0,-97.8,30.21,Black,Cadillac,XTS,2013,5,6/5/16,0,88,68,5.8,14.1,0,0,0
6/5/16 22:19,4289,30.31,-97.75,6/5/16 22:11,5,5,,,,REGULAR,,0,-97.74,30.29,Black,Cadillac,XTS,2013,5,6/5/16,0,88,68,5.8,14.1,0,0,0
6/5/16 23:35,3305,30.29,-97.74,6/5/16 23:29,3,5,,,,REGULAR,,0,-97.75,30.31,Black,Cadillac,XTS,2013,5,6/5/16,0,88,68,5.8,14.1,0,0,0
6/5/16 21:55,2290,30.27,-97.75,6/5/16 21:47,,5,,,,REGULAR,,0,-97.74,30.26,Black,Cadillac,SRX,2012,4.888888889,6/5/16,0,88,68,5.8,14.1,0,0,0
6/5/16 22:23,2411,30.27,-97.75,6/5/16 22:15,3,5,,,,REGULAR,,0,-97.75,30.25,Black,Cadillac,SRX,2012,4.888888889,6/5/16,0,88,68,5.8,14.1,0,0,0
6/5/16 23:57,2107,30.25,-97.75,6/5/16 23:51,,5,,,,REGULAR,,0,-97.75,30.27,Black,Cadillac,SRX,2012,4.888888889,6/5/16,0,88,68,5.8,14.1,0,0,0
6/5/16 23:33,2120,30.27,-97.74,6/5/16 23:24,5,5,,,,REGULAR,,0,-97.75,30.27,Gray,Toyota,Highlander,2012,5,6/5/16,0,88,68,5.8,14.1,0,0,0
6/6/16 0:07,9771,30.26,-97.75,6/5/16 23:47,,5,,,,REGULAR,,0,-97.77,30.31,White,Nissan,Murano,2015,5,6/6/16,0,90,70,4.3,13,0,0,0
6/6/16 1:28,3468,30.31,-97.73,6/6/16 1:20,,5,,,,REGULAR,,0,-97.75,30.29,White,Chevrolet,Tahoe,2013,5,6/6/16,0,90,70,4.3,13,0,0,0
6/6/16 2:48,5872,30.24,-97.72,6/6/16 2:38,5,5,,,,REGULAR,,0,-97.74,30.27,White,Chevrolet,Tahoe,2013,5,6/6/16,0,90,70,4.3,13,0,0,0
6/6/16 13:42,857,30.26,-97.74,6/6/16 13:40,,5,,,,REGULAR,,0,-97.75,30.26,White,Chevrolet,Tahoe,2013,5,6/6/16,0,90,70,4.3,13,0,0,0
6/6/16 16:52,2662,30.28,-97.75,6/6/16 16:46,,5,,,,REGULAR,,0,-97.76,30.27,White,Chevrolet,Tahoe,2013,5,6/6/16,0,90,70,4.3,13,0,0,0
6/6/16 18:27,8597,30.31,-97.74,6/6/16 18:13,,4,,,,REGULAR,,0,-97.74,30.27,White,Chevrolet,Tahoe,2013,5,6/6/16,0,90,70,4.3,13,0,0,0
6/6/16 15:34,1259,30.27,-97.76,6/6/16 15:31,5,5,,,,REGULAR,,0,-97.75,30.27,Black,Cadillac,XTS,2013,5,6/6/16,0,90,70,4.3,13,0,0,0
6/6/16 16:30,2331,30.27,-97.75,6/6/16 16:24,5,5,,,,REGULAR,,0,-97.74,30.28,Black,Cadillac,XTS,2013,5,6/6/16,0,90,70,4.3,13,0,0,0
6/6/16 16:56,2692,30.28,-97.75,6/6/16 16:49,3,5,,,,REGULAR,,0,-97.75,30.27,Black,Cadillac,XTS,2013,5,6/6/16,0,90,70,4.3,13,0,0,0
6/6/16 16:49,3318,30.26,-97.72,6/6/16 16:41,4.5,5,,,,REGULAR,,0,-97.75,30.27,Brown,BMW,X5,2013,5,6/6/16,0,90,70,4.3,13,0,0,0
6/6/16 17:09,10475,30.2,-97.67,6/6/16 16:57,,5,,,,REGULAR,,0,-97.71,30.25,Gray,Mercedes-Benz,E-Class,2008,5,6/6/16,0,90,70,4.3,13,0,0,0
6/6/16 17:52,1903,30.27,-97.75,6/6/16 17:46,5,5,,,,REGULAR,,0,-97.73,30.27,Gray,Mercedes-Benz,E-Class,2008,5,6/6/16,0,90,70,4.3,13,0,0,0
6/6/16 18:08,2860,30.3,-97.72,6/6/16 18:08,5,5,,,,REGULAR,,0,-97.71,30.33,Silver,BMW,X5 M,2013,5,6/6/16,0,90,70,4.3,13,0,0,0
6/6/16 18:30,2092,30.27,-97.75,6/6/16 18:23,5,5,,,,REGULAR,,0,-97.75,30.28,Brown,BMW,X5,2013,5,6/6/16,0,90,70,4.3,13,0,0,0
6/6/16 19:28,2694,30.27,-97.75,6/6/16 19:18,,5,,,,REGULAR,,0,-97.75,30.28,Silver,BMW,X5 M,2013,5,6/6/16,0,90,70,4.3,13,0,0,0
6/6/16 20:05,1439,30.26,-97.74,6/6/16 20:02,,5,,,,REGULAR,,0,-97.75,30.27,Gray,Mercedes-Benz,E-Class,2008,5,6/6/16,0,90,70,4.3,13,0,0,0
6/6/16 20:36,11950,30.27,-97.72,6/6/16 20:11,4.5,5,,,,REGULAR,,0,-97.67,30.2,Red,Cadillac,CTS,2010,5,6/6/16,0,90,70,4.3,13,0,0,0
6/6/16 20:54,1815,30.27,-97.75,6/6/16 20:48,5,5,,,,REGULAR,,0,-97.74,30.26,Brown,Ford,Explorer,2013,4.888888889,6/6/16,0,90,70,4.3,13,0,0,0
6/6/16 23:10,12648,30.36,-97.73,6/6/16 22:45,5,5,,,,REGULAR,,0,-97.75,30.27,White,Chevrolet,Tahoe,2013,5,6/6/16,0,90,70,4.3,13,0,0,0
6/7/16 0:57,4878,30.26,-97.74,6/7/16 0:45,,5,,,,REGULAR,,0,-97.74,30.3,White,Chevrolet,Tahoe,2013,5,6/7/16,0,92,69,2,8.1,0,0,0
6/7/16 0:23,11600,30.3,-97.75,6/7/16 0:01,,5,,,,REGULAR,,0,-97.72,30.24,Brown,Ford,Explorer,2013,4.888888889,6/7/16,0,92,69,2,8.1,0,0,0
6/7/16 3:01,921,30.29,-97.75,6/7/16 2:55,5,5,,,,REGULAR,,0,-97.74,30.29,Brown,Ford,Explorer,2013,4.888888889,6/7/16,0,92,69,2,8.1,0,0,0
6/7/16 0:12,4728,30.27,-97.75,6/7/16 0:02,5,5,,,,REGULAR,,0,-97.76,30.3,Black,Cadillac,XTS,2013,5,6/7/16,0,92,69,2,8.1,0,0,0
6/7/16 0:44,10418,30.25,-97.78,6/7/16 0:24,,5,,,,REGULAR,,0,-97.72,30.26,Gray,Mercedes-Benz,E-Class,2008,5,6/7/16,0,92,69,2,8.1,0,0,0
6/7/16 0:39,2339,30.26,-97.72,6/7/16 0:32,5,5,,,,REGULAR,,0,-97.72,30.28,Silver,Toyota,Highlander Hybrid,2008,5,6/7/16,0,92,69,2,8.1,0,0,0
6/7/16 1:53,1957,30.28,-97.74,6/7/16 1:46,5,5,,,,REGULAR,,0,-97.75,30.27,Brown,BMW,X5,2013,5,6/7/16,0,92,69,2,8.1,0,0,0
6/7/16 2:47,11582,30.24,-97.72,6/7/16 2:27,5,5,,,,REGULAR,,0,-97.75,30.3,Brown,BMW,X5,2013,5,6/7/16,0,92,69,2,8.1,0,0,0
6/7/16 12:50,3160,30.27,-97.75,6/7/16 12:41,3,5,,,,REGULAR,,0,-97.75,30.28,Black,Cadillac,XTS,2013,4.909090909,6/7/16,0,92,69,2,8.1,0,0,0
6/7/16 13:09,1656,30.27,-97.74,6/7/16 13:02,3,5,,,,REGULAR,,0,-97.75,30.25,Gray,Toyota,Highlander,2012,5,6/7/16,0,92,69,2,8.1,0,0,0
6/7/16 13:58,10639,30.33,-97.71,6/7/16 13:41,5,5,,,,REGULAR,,0,-97.74,30.27,White,Nissan,Murano,2015,5,6/7/16,0,92,69,2,8.1,0,0,0
6/7/16 14:38,6711,30.29,-97.72,6/7/16 14:23,5,5,,,,REGULAR,,0,-97.76,30.26,Black,Ford,Explorer,2015,5,6/7/16,0,92,69,2,8.1,0,0,0
